E01002837,Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,0,2016,2
E01003686,Redbridge,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2012,10
E01000493,Brent,Violence Against the Person,Harassment,1,2011,8
E01000627,Brent,Violence Against the Person,Wounding/GBH,1,2012,1
E01004052,Southwark,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,5
E01002632,Hounslow,Drugs,Drug Trafficking,0,2015,8
E01001294,Ealing,Fraud or Forgery,Counted per Victim,0,2012,8
E01002821,Kensington and Chelsea,Robbery,Business Property,0,2010,5
E01001944,Hammersmith and Fulham,Robbery,Personal Property,0,2012,5
E01003362,Merton,Fraud or Forgery,Counted per Victim,0,2009,11
E01002493,Hillingdon,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,7
E01000134,Barnet,Violence Against the Person,Common Assault,1,2015,10
E01003057,Lambeth,Violence Against the Person,Common Assault,2,2011,7
E01004473,Wandsworth,Violence Against the Person,Harassment,0,2011,5
E01002899,Kensington and Chelsea,Violence Against the Person,Other violence,0,2015,8
E01000647,Bromley,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2008,3
E01033594,Westminster,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,5
E01001523,Enfield,Burglary,Burglary in Other Buildings,0,2014,10
E01004570,Wandsworth,Sexual Offences,Rape,0,2009,3
E01001576,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2008,2
E01000475,Brent,Violence Against the Person,Offensive Weapon,0,2010,12
E01001597,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2009,9
E01001356,Ealing,Theft and Handling,Theft From Shops,0,2014,1
E01002071,Haringey,Burglary,Burglary in a Dwelling,2,2013,11
E01002152,Harrow,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2012,12
E01003831,Richmond upon Thames,Violence Against the Person,Offensive Weapon,0,2008,10
E01004680,Westminster,Criminal Damage,Criminal Damage To Dwelling,0,2009,5
E01003881,Richmond upon Thames,Drugs,Drug Trafficking,0,2013,4
E01000760,Bromley,Violence Against the Person,Common Assault,0,2010,8
E01003538,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,8
E01003474,Merton,Theft and Handling,Theft From Motor Vehicle,1,2011,5
E01002875,Kensington and Chelsea,Criminal Damage,Criminal Damage To Dwelling,0,2013,2
E01004469,Waltham Forest,Violence Against the Person,Other violence,0,2014,6
E01001250,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,7
E01002121,Harrow,Drugs,Possession Of Drugs,0,2008,5
E01003595,Newham,Violence Against the Person,Murder,0,2014,4
E01003453,Merton,Theft and Handling,Theft From Shops,0,2009,12
E01003395,Merton,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,10
E01004620,Wandsworth,Violence Against the Person,Wounding/GBH,0,2015,4
E01001997,Haringey,Theft and Handling,Theft From Shops,0,2008,9
E01000079,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,0,2008,1
E01004186,Sutton,Criminal Damage,Criminal Damage To Dwelling,0,2014,7
E01002611,Hounslow,Theft and Handling,Theft From Shops,0,2016,11
E01003075,Lambeth,Violence Against the Person,Wounding/GBH,2,2015,5
E01000058,Barking and Dagenham,Theft and Handling,Other Theft,0,2009,12
E01004312,Tower Hamlets,Drugs,Possession Of Drugs,0,2010,5
E01000935,Camden,Criminal Damage,Other Criminal Damage,1,2008,8
E01004549,Wandsworth,Other Notifiable Offences,Going Equipped,0,2012,1
E01002254,Havering,Other Notifiable Offences,Other Notifiable,0,2016,10
E01001052,Croydon,Theft and Handling,Other Theft Person,0,2015,2
E01000098,Barking and Dagenham,Theft and Handling,Theft From Motor Vehicle,0,2012,11
E01001604,Greenwich,Fraud or Forgery,Other Fraud & Forgery,0,2015,7
E01000876,Camden,Sexual Offences,Other Sexual,0,2014,9
E01004497,Wandsworth,Burglary,Burglary in a Dwelling,2,2016,9
E01000491,Brent,Burglary,Burglary in a Dwelling,2,2010,4
E01002699,Islington,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,8
E01003371,Merton,Other Notifiable Offences,Other Notifiable,0,2015,12
E01000714,Bromley,Violence Against the Person,Harassment,1,2010,6
E01001765,Hackney,Violence Against the Person,Common Assault,4,2009,9
E01003840,Richmond upon Thames,Drugs,Drug Trafficking,0,2016,6
E01003097,Lambeth,Robbery,Personal Property,0,2014,6
E01004096,Sutton,Violence Against the Person,Assault with Injury,0,2008,9
E01000335,Bexley,Burglary,Burglary in Other Buildings,0,2014,5
E01004544,Wandsworth,Criminal Damage,Other Criminal Damage,0,2014,11
E01004358,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,10
E01001173,Croydon,Theft and Handling,Other Theft,3,2013,10
E01002061,Haringey,Violence Against the Person,Other violence,0,2009,5
E01004689,Westminster,Criminal Damage,Criminal Damage To Motor Vehicle,2,2013,6
E01003960,Southwark,Violence Against the Person,Other violence,0,2014,3
E01000962,Camden,Other Notifiable Offences,Other Notifiable,0,2015,5
E01000674,Bromley,Violence Against the Person,Harassment,3,2016,2
E01001959,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Dwelling,2,2009,2
E01003787,Redbridge,Theft and Handling,Other Theft Person,0,2008,12
E01003215,Lewisham,Theft and Handling,Theft From Motor Vehicle,1,2016,2
E01003937,Southwark,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,6
E01002846,Kensington and Chelsea,Burglary,Burglary in Other Buildings,2,2016,2
E01002292,Havering,Criminal Damage,Other Criminal Damage,1,2008,9
E01001878,Hammersmith and Fulham,Violence Against the Person,Other violence,0,2014,5
E01002255,Havering,Theft and Handling,Other Theft,0,2010,2
E01001951,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,4
E01002521,Hillingdon,Drugs,Drug Trafficking,0,2013,2
E01000567,Brent,Violence Against the Person,Wounding/GBH,0,2013,6
E01002604,Hounslow,Theft and Handling,Theft From Motor Vehicle,3,2008,2
E01004445,Waltham Forest,Theft and Handling,Theft From Shops,1,2010,1
E01001862,Hammersmith and Fulham,Violence Against the Person,Wounding/GBH,0,2013,4
E01004614,Wandsworth,Robbery,Personal Property,0,2010,8
E01002076,Haringey,Robbery,Business Property,0,2009,4
E01003426,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,7
E01001890,Hammersmith and Fulham,Violence Against the Person,Offensive Weapon,0,2011,1
E01003627,Newham,Criminal Damage,Criminal Damage To Other Building,0,2013,6
E01003523,Newham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2009,4
E01002016,Haringey,Violence Against the Person,Assault with Injury,0,2015,1
E01001765,Hackney,Robbery,Personal Property,0,2012,9
E01001458,Enfield,Theft and Handling,Other Theft,1,2009,1
E01004142,Sutton,Violence Against the Person,Common Assault,10,2014,12
E01002578,Hounslow,Theft and Handling,Other Theft Person,0,2009,3
E01001448,Enfield,Burglary,Burglary in a Dwelling,1,2011,3
E01002029,Haringey,Theft and Handling,Other Theft,10,2015,9
E01003177,Lambeth,Criminal Damage,Criminal Damage To Other Building,0,2015,7
E01001760,Hackney,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,6
E01003899,Richmond upon Thames,Criminal Damage,Criminal Damage To Dwelling,1,2013,8
E01001043,Croydon,Theft and Handling,Handling Stolen Goods,0,2008,3
E01003174,Lambeth,Robbery,Personal Property,0,2012,12
E01003170,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,1
E01002045,Haringey,Violence Against the Person,Offensive Weapon,0,2015,1
E01003018,Lambeth,Burglary,Burglary in a Dwelling,1,2009,9
E01000441,Bexley,Theft and Handling,Other Theft Person,0,2008,8
E01003574,Newham,Other Notifiable Offences,Other Notifiable,0,2012,7
E01003926,Southwark,Drugs,Other Drugs,0,2014,2
E01002447,Hillingdon,Violence Against the Person,Other violence,0,2008,9
E01004043,Southwark,Robbery,Business Property,0,2011,6
E01002287,Havering,Other Notifiable Offences,Going Equipped,0,2014,10
E01000688,Bromley,Theft and Handling,Theft/Taking of Pedal Cycle,0,2012,7
E01000441,Bexley,Other Notifiable Offences,Other Notifiable,0,2009,8
E01000432,Bexley,Criminal Damage,Criminal Damage To Other Building,0,2011,1
E01002066,Haringey,Robbery,Personal Property,0,2015,6
E01001839,Hackney,Theft and Handling,Other Theft,6,2014,6
E01001857,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,10
E01001525,Enfield,Theft and Handling,Other Theft,3,2010,10
E01000365,Bexley,Violence Against the Person,Common Assault,1,2016,10
E01003742,Redbridge,Violence Against the Person,Wounding/GBH,0,2010,1
E01002118,Harrow,Criminal Damage,Criminal Damage To Other Building,0,2013,6
E01000267,Barnet,Theft and Handling,Other Theft Person,0,2011,4
E01000623,Brent,Theft and Handling,Theft From Motor Vehicle,1,2012,10
E01003887,Richmond upon Thames,Theft and Handling,Handling Stolen Goods,0,2012,4
E01003181,Lambeth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,1
E01002121,Harrow,Robbery,Personal Property,0,2011,3
E01002776,Islington,Criminal Damage,Other Criminal Damage,0,2010,10
E01002467,Hillingdon,Theft and Handling,Other Theft Person,0,2013,1
E01002433,Hillingdon,Theft and Handling,Theft From Shops,0,2016,10
E01004534,Wandsworth,Robbery,Personal Property,1,2009,8
E01002056,Haringey,Theft and Handling,Other Theft Person,0,2014,7
E01000642,Brent,Criminal Damage,Criminal Damage To Motor Vehicle,1,2015,11
E01004506,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,1,2008,4
E01000970,Camden,Violence Against the Person,Assault with Injury,0,2008,11
E01002765,Islington,Violence Against the Person,Common Assault,5,2014,8
E01002676,Hounslow,Drugs,Drug Trafficking,0,2010,8
E01003367,Merton,Drugs,Other Drugs,0,2016,8
E01000997,Croydon,Violence Against the Person,Offensive Weapon,0,2015,4
E01033734,Greenwich,Theft and Handling,Theft From Motor Vehicle,0,2009,5
E01002504,Hillingdon,Drugs,Drug Trafficking,0,2013,5
E01001424,Enfield,Violence Against the Person,Assault with Injury,1,2011,9
E01003721,Redbridge,Other Notifiable Offences,Going Equipped,0,2008,3
E01000119,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,0,2015,11
E01004441,Waltham Forest,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,6
E01000830,Bromley,Fraud or Forgery,Other Fraud & Forgery,0,2008,10
E01003685,Redbridge,Violence Against the Person,Other violence,0,2016,7
E01003159,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,1
E01002288,Havering,Other Notifiable Offences,Other Notifiable,0,2011,7
E01001623,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2016,10
E01002038,Haringey,Violence Against the Person,Assault with Injury,0,2012,8
E01001495,Enfield,Violence Against the Person,Assault with Injury,1,2012,6
E01002042,Haringey,Criminal Damage,Other Criminal Damage,0,2015,8
E01000019,Barking and Dagenham,Violence Against the Person,Common Assault,0,2016,8
E01002253,Havering,Theft and Handling,Other Theft,0,2015,4
E01001601,Greenwich,Criminal Damage,Criminal Damage To Other Building,0,2016,5
E01002698,Islington,Violence Against the Person,Wounding/GBH,2,2009,6
E01000012,Barking and Dagenham,Robbery,Personal Property,1,2011,6
E01001092,Croydon,Violence Against the Person,Wounding/GBH,0,2016,1
E01000191,Barnet,Criminal Damage,Other Criminal Damage,0,2014,3
E01003541,Newham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2013,12
E01033571,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,0,2013,5
E01001767,Hackney,Theft and Handling,Theft From Motor Vehicle,1,2015,1
E01003481,Newham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2012,9
E01001367,Ealing,Burglary,Burglary in a Dwelling,0,2009,11
E01000110,Barking and Dagenham,Theft and Handling,Other Theft Person,0,2011,7
E01003076,Lambeth,Burglary,Burglary in Other Buildings,3,2014,5
E01033093,Wandsworth,Other Notifiable Offences,Going Equipped,0,2008,10
E01001921,Hammersmith and Fulham,Violence Against the Person,Other violence,3,2008,7
E01033424,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,5
E01002483,Hillingdon,Violence Against the Person,Other violence,1,2015,2
E01003364,Merton,Violence Against the Person,Wounding/GBH,1,2015,2
E01003459,Merton,Criminal Damage,Criminal Damage To Other Building,0,2016,7
E01002530,Hillingdon,Fraud or Forgery,Counted per Victim,0,2011,1
E01001767,Hackney,Robbery,Business Property,0,2009,8
E01003921,Southwark,Sexual Offences,Rape,0,2010,10
E01004078,Sutton,Theft and Handling,Other Theft,2,2014,6
E01000145,Barnet,Theft and Handling,Other Theft Person,0,2012,5
E01000254,Barnet,Theft and Handling,Theft From Shops,0,2014,3
E01002824,Kensington and Chelsea,Criminal Damage,Criminal Damage To Other Building,0,2013,4
E01000659,Bromley,Theft and Handling,Other Theft,0,2013,8
E01003316,Lewisham,Violence Against the Person,Other violence,0,2013,8
E01004012,Southwark,Theft and Handling,Theft From Motor Vehicle,1,2015,2
E01002992,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,1,2011,1
E01003270,Lewisham,Violence Against the Person,Wounding/GBH,0,2008,5
E01000210,Barnet,Other Notifiable Offences,Other Notifiable,0,2015,8
E01002378,Havering,Violence Against the Person,Offensive Weapon,0,2015,10
E01004641,Wandsworth,Robbery,Business Property,0,2012,9
E01004264,Tower Hamlets,Theft and Handling,Other Theft Person,0,2009,7
E01004687,Westminster,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,7
E01003832,Richmond upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,4
E01001496,Enfield,Violence Against the Person,Wounding/GBH,0,2015,1
E01001322,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,3,2009,3
E01004416,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,2
E01004143,Sutton,Violence Against the Person,Other violence,0,2013,11
E01002028,Haringey,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,6
E01002906,Kensington and Chelsea,Other Notifiable Offences,Other Notifiable,0,2013,4
E01000725,Bromley,Violence Against the Person,Wounding/GBH,0,2015,9
E01002183,Harrow,Theft and Handling,Theft From Motor Vehicle,0,2014,6
E01003005,Kingston upon Thames,Violence Against the Person,Wounding/GBH,0,2008,9
E01004378,Waltham Forest,Criminal Damage,Criminal Damage To Other Building,0,2008,12
E01001911,Hammersmith and Fulham,Violence Against the Person,Common Assault,0,2016,6
E01001145,Croydon,Violence Against the Person,Assault with Injury,0,2010,10
E01004139,Sutton,Burglary,Burglary in a Dwelling,0,2015,6
E01002714,Islington,Theft and Handling,Theft From Shops,0,2010,8
E01003282,Lewisham,Theft and Handling,Theft From Shops,0,2012,11
E01002297,Havering,Theft and Handling,Other Theft Person,0,2013,5
E01002796,Islington,Drugs,Other Drugs,0,2012,2
E01000107,Barking and Dagenham,Other Notifiable Offences,Other Notifiable,0,2008,2
E01004482,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,0,2014,1
E01002473,Hillingdon,Robbery,Personal Property,0,2012,5
E01002881,Kensington and Chelsea,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,3
E01033093,Wandsworth,Robbery,Personal Property,0,2015,12
E01004499,Wandsworth,Drugs,Possession Of Drugs,0,2014,12
E01001010,Croydon,Theft and Handling,Other Theft Person,0,2014,12
E01004507,Wandsworth,Robbery,Personal Property,1,2013,10
E01000499,Brent,Other Notifiable Offences,Other Notifiable,0,2012,1
E01001662,Greenwich,Violence Against the Person,Wounding/GBH,2,2016,9
E01003821,Richmond upon Thames,Theft and Handling,Theft/Taking of Pedal Cycle,1,2009,7
E01000247,Barnet,Violence Against the Person,Assault with Injury,0,2010,7
E01002872,Kensington and Chelsea,Theft and Handling,Handling Stolen Goods,0,2009,5
E01001042,Croydon,Violence Against the Person,Harassment,1,2016,1
E01000963,Camden,Burglary,Burglary in Other Buildings,2,2016,8
E01000708,Bromley,Robbery,Personal Property,0,2014,10
E01004037,Southwark,Theft and Handling,Other Theft Person,0,2016,1
E01002652,Hounslow,Criminal Damage,Other Criminal Damage,0,2011,4
E01002973,Kingston upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2011,7
E01003788,Redbridge,Violence Against the Person,Assault with Injury,1,2011,7
E01004631,Wandsworth,Violence Against the Person,Common Assault,1,2016,10
E01003410,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,1,2011,7
E01032722,Southwark,Criminal Damage,Other Criminal Damage,0,2013,3
E01001430,Enfield,Criminal Damage,Other Criminal Damage,0,2009,10
E01002614,Hounslow,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,5
E01000230,Barnet,Violence Against the Person,Assault with Injury,0,2014,4
E01000334,Bexley,Violence Against the Person,Other violence,0,2015,1
E01002932,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,9
E01001454,Enfield,Theft and Handling,Theft From Motor Vehicle,1,2015,1
E01000413,Bexley,Robbery,Personal Property,0,2009,8
E01002338,Havering,Theft and Handling,Theft From Shops,0,2011,3
E01003594,Newham,Robbery,Personal Property,0,2016,6
E01001144,Croydon,Other Notifiable Offences,Other Notifiable,0,2015,4
E01004016,Southwark,Criminal Damage,Other Criminal Damage,1,2015,8
E01004492,Wandsworth,Robbery,Business Property,0,2009,12
E01001219,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,1
E01000958,Camden,Violence Against the Person,Wounding/GBH,0,2010,3
E01003498,Newham,Other Notifiable Offences,Other Notifiable,0,2012,2
E01004449,Waltham Forest,Fraud or Forgery,Counted per Victim,0,2012,10
E01001373,Ealing,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,11
E01003292,Lewisham,Burglary,Burglary in a Dwelling,0,2016,5
E01001674,Greenwich,Criminal Damage,Criminal Damage To Dwelling,0,2013,2
E01003592,Newham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,11
E01001217,Ealing,Violence Against the Person,Harassment,0,2010,12
E01001052,Croydon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,9
E01003774,Redbridge,Theft and Handling,Theft From Motor Vehicle,0,2014,5
E01003963,Southwark,Theft and Handling,Theft From Motor Vehicle,0,2010,2
E01004743,Westminster,Violence Against the Person,Assault with Injury,2,2008,7
E01001826,Hackney,Drugs,Drug Trafficking,0,2014,3
E01002572,Hounslow,Other Notifiable Offences,Going Equipped,0,2010,7
E01003048,Lambeth,Theft and Handling,Handling Stolen Goods,0,2015,12
E01004084,Sutton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,11
E01004157,Sutton,Fraud or Forgery,Counted per Victim,0,2009,4
E01001051,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,11
E01002008,Haringey,Violence Against the Person,Common Assault,0,2012,11
E01000959,Camden,Drugs,Drug Trafficking,0,2011,11
E01003179,Lambeth,Violence Against the Person,Offensive Weapon,0,2011,7
E01004756,Westminster,Violence Against the Person,Wounding/GBH,0,2010,1
E01000983,Croydon,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,8
E01000877,Camden,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,8
E01002625,Hounslow,Violence Against the Person,Wounding/GBH,0,2011,6
E01000517,Brent,Violence Against the Person,Common Assault,0,2015,8
E01004522,Wandsworth,Violence Against the Person,Offensive Weapon,0,2008,11
E01002244,Havering,Violence Against the Person,Common Assault,0,2010,11
E01002873,Kensington and Chelsea,Theft and Handling,Handling Stolen Goods,0,2016,12
E01002151,Harrow,Violence Against the Person,Wounding/GBH,0,2012,10
E01002739,Islington,Fraud or Forgery,Counted per Victim,0,2010,5
E01033732,Greenwich,Other Notifiable Offences,Other Notifiable,0,2011,11
E01001760,Hackney,Fraud or Forgery,Counted per Victim,0,2009,6
E01032803,Southwark,Theft and Handling,Theft From Motor Vehicle,0,2008,9
E01004078,Sutton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,4
E01004422,Waltham Forest,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,3
E01002885,Kensington and Chelsea,Robbery,Personal Property,0,2010,9
E01000630,Brent,Other Notifiable Offences,Going Equipped,0,2011,4
E01003309,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2009,11
E01002676,Hounslow,Criminal Damage,Other Criminal Damage,0,2012,7
E01000299,Barnet,Violence Against the Person,Common Assault,1,2011,5
E01004461,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,1,2009,7
E01032774,Tower Hamlets,Theft and Handling,Handling Stolen Goods,0,2008,11
E01001883,Hammersmith and Fulham,Burglary,Burglary in a Dwelling,0,2013,11
E01001014,Croydon,Sexual Offences,Other Sexual,0,2008,10
E01001046,Croydon,Robbery,Personal Property,0,2013,1
E01003706,Redbridge,Burglary,Burglary in a Dwelling,1,2013,5
E01000236,Barnet,Criminal Damage,Criminal Damage To Dwelling,0,2016,5
E01001471,Enfield,Criminal Damage,Criminal Damage To Dwelling,0,2010,6
E01001835,Hackney,Drugs,Drug Trafficking,0,2013,12
E01000593,Brent,Burglary,Burglary in a Dwelling,0,2012,7
E01001907,Hammersmith and Fulham,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2008,3
E01004384,Waltham Forest,Criminal Damage,Other Criminal Damage,3,2015,12
E01002653,Hounslow,Theft and Handling,Handling Stolen Goods,0,2013,4
E01000296,Barnet,Violence Against the Person,Offensive Weapon,0,2014,9
E01002057,Haringey,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,5
E01002261,Havering,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,6
E01001280,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,0,2016,6
E01004726,Westminster,Other Notifiable Offences,Other Notifiable,0,2013,5
E01000118,Barnet,Other Notifiable Offences,Other Notifiable,0,2010,2
E01000760,Bromley,Theft and Handling,Other Theft Person,0,2015,10
E01000300,Barnet,Other Notifiable Offences,Going Equipped,0,2014,2
E01000525,Brent,Drugs,Drug Trafficking,0,2012,5
E01002161,Harrow,Other Notifiable Offences,Other Notifiable,0,2009,4
E01001700,Greenwich,Theft and Handling,Other Theft Person,1,2013,3
E01002152,Harrow,Theft and Handling,Theft From Motor Vehicle,1,2016,5
E01002358,Havering,Sexual Offences,Other Sexual,0,2011,2
E01003562,Newham,Violence Against the Person,Offensive Weapon,0,2013,8
E01004072,Southwark,Burglary,Burglary in Other Buildings,1,2012,9
E01032581,Redbridge,Burglary,Burglary in Other Buildings,0,2011,11
E01002901,Kensington and Chelsea,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,8
E01003584,Newham,Drugs,Drug Trafficking,0,2009,9
E01001729,Hackney,Burglary,Burglary in Other Buildings,2,2010,11
E01000452,Bexley,Burglary,Burglary in Other Buildings,0,2011,7
E01003578,Newham,Criminal Damage,Criminal Damage To Other Building,0,2012,4
E01002400,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2012,7
E01003255,Lewisham,Other Notifiable Offences,Going Equipped,0,2015,1
E01000514,Brent,Burglary,Burglary in Other Buildings,0,2016,1
E01003803,Richmond upon Thames,Criminal Damage,Criminal Damage To Other Building,0,2009,7
E01000576,Brent,Burglary,Burglary in Other Buildings,0,2009,12
E01000399,Bexley,Violence Against the Person,Offensive Weapon,0,2011,12
E01004045,Southwark,Criminal Damage,Criminal Damage To Motor Vehicle,1,2010,9
E01002015,Haringey,Other Notifiable Offences,Other Notifiable,0,2011,2
E01032743,Ealing,Robbery,Business Property,0,2011,11
E01000395,Bexley,Criminal Damage,Other Criminal Damage,0,2013,11
E01003130,Lambeth,Robbery,Business Property,0,2009,1
E01003534,Newham,Criminal Damage,Other Criminal Damage,0,2009,4
E01000443,Bexley,Violence Against the Person,Offensive Weapon,0,2012,4
E01001299,Ealing,Robbery,Personal Property,0,2011,6
E01003247,Lewisham,Theft and Handling,Theft/Taking Of Motor Vehicle,4,2011,2
