E01000224,Barnet,Theft and Handling,Theft From Shops,1,2008,9
E01004407,Waltham Forest,Burglary,Burglary in Other Buildings,0,2008,9
E01004023,Southwark,Violence Against the Person,Offensive Weapon,0,2016,1
E01000803,Bromley,Criminal Damage,Criminal Damage To Dwelling,0,2013,9
E01001590,Greenwich,Violence Against the Person,Murder,0,2013,11
E01001011,Croydon,Violence Against the Person,Common Assault,0,2009,11
E01002351,Havering,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,3
E01002160,Harrow,Robbery,Business Property,0,2011,11
E01002310,Havering,Theft and Handling,Handling Stolen Goods,0,2008,2
E01004060,Southwark,Drugs,Other Drugs,0,2016,1
E01001069,Croydon,Criminal Damage,Other Criminal Damage,0,2016,6
E01000296,Barnet,Violence Against the Person,Harassment,1,2010,5
E01001112,Croydon,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,7
E01000953,Camden,Theft and Handling,Other Theft,2,2011,10
E01004650,Westminster,Criminal Damage,Other Criminal Damage,0,2008,3
E01002788,Islington,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,6
E01002363,Havering,Drugs,Possession Of Drugs,0,2016,5
E01003750,Redbridge,Criminal Damage,Other Criminal Damage,0,2013,7
E01033727,Greenwich,Robbery,Business Property,0,2014,7
E01001634,Greenwich,Theft and Handling,Motor Vehicle Interference & Tampering,0,2015,2
E01032788,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,1,2016,8
E01003024,Lambeth,Robbery,Business Property,0,2009,7
E01000632,Brent,Theft and Handling,Theft From Motor Vehicle,1,2012,7
E01001991,Haringey,Other Notifiable Offences,Other Notifiable,0,2008,2
E01000644,Brent,Violence Against the Person,Offensive Weapon,0,2016,3
E01002238,Harrow,Criminal Damage,Other Criminal Damage,0,2015,10
E01001400,Enfield,Violence Against the Person,Other violence,0,2008,3
E01000708,Bromley,Theft and Handling,Handling Stolen Goods,0,2011,11
E01002263,Havering,Robbery,Personal Property,0,2011,12
E01001144,Croydon,Theft and Handling,Theft From Motor Vehicle,0,2008,8
E01001910,Hammersmith and Fulham,Fraud or Forgery,Other Fraud & Forgery,0,2016,12
E01002139,Harrow,Burglary,Burglary in Other Buildings,0,2013,5
E01003135,Lambeth,Drugs,Drug Trafficking,0,2013,1
E01000677,Bromley,Theft and Handling,Other Theft Person,1,2016,7
E01001724,Hackney,Theft and Handling,Other Theft Person,0,2009,1
E01004062,Southwark,Burglary,Burglary in Other Buildings,1,2011,12
E01002190,Harrow,Theft and Handling,Theft/Taking of Pedal Cycle,0,2014,5
E01004055,Southwark,Theft and Handling,Other Theft Person,0,2013,4
E01002784,Islington,Theft and Handling,Theft From Motor Vehicle,0,2008,2
E01000745,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,1,2009,11
E01000938,Camden,Violence Against the Person,Assault with Injury,3,2008,3
E01003056,Lambeth,Theft and Handling,Other Theft Person,0,2014,1
E01003608,Newham,Violence Against the Person,Harassment,0,2010,10
E01000343,Bexley,Other Notifiable Offences,Other Notifiable,0,2016,12
E01001221,Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,4
E01004259,Tower Hamlets,Drugs,Drug Trafficking,0,2015,4
E01002110,Harrow,Violence Against the Person,Harassment,0,2008,6
E01002116,Harrow,Theft and Handling,Theft From Motor Vehicle,2,2012,11
E01000540,Brent,Drugs,Possession Of Drugs,0,2012,12
E01033132,Wandsworth,Criminal Damage,Criminal Damage To Dwelling,0,2010,4
E01001756,Hackney,Drugs,Other Drugs,0,2011,7
E01000559,Brent,Violence Against the Person,Offensive Weapon,0,2013,8
E01033603,Westminster,Criminal Damage,Criminal Damage To Motor Vehicle,3,2013,2
E01001273,Ealing,Drugs,Possession Of Drugs,0,2013,12
E01000230,Barnet,Drugs,Other Drugs,0,2008,6
E01004384,Waltham Forest,Criminal Damage,Criminal Damage To Motor Vehicle,2,2009,8
E01003722,Redbridge,Burglary,Burglary in a Dwelling,0,2008,4
E01002940,Kingston upon Thames,Violence Against the Person,Assault with Injury,1,2010,4
E01000722,Bromley,Theft and Handling,Handling Stolen Goods,0,2012,11
E01001577,Greenwich,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,8
E01000393,Bexley,Violence Against the Person,Other violence,0,2009,8
E01002742,Islington,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,6
E01003757,Redbridge,Theft and Handling,Motor Vehicle Interference & Tampering,0,2011,2
E01003988,Southwark,Criminal Damage,Criminal Damage To Dwelling,1,2011,9
E01003607,Newham,Fraud or Forgery,Counted per Victim,0,2014,9
E01001466,Enfield,Theft and Handling,Other Theft Person,0,2014,4
E01004461,Waltham Forest,Other Notifiable Offences,Other Notifiable,0,2012,10
E01003336,Lewisham,Criminal Damage,Criminal Damage To Dwelling,0,2008,9
E01002702,Islington,Burglary,Burglary in a Dwelling,1,2012,7
E01003813,Richmond upon Thames,Violence Against the Person,Wounding/GBH,0,2010,12
E01002954,Kingston upon Thames,Violence Against the Person,Harassment,0,2013,2
E01004296,Tower Hamlets,Theft and Handling,Theft/Taking Of Motor Vehicle,2,2016,8
E01033148,Enfield,Violence Against the Person,Common Assault,3,2015,2
E01001503,Enfield,Theft and Handling,Handling Stolen Goods,0,2015,6
E01003542,Newham,Drugs,Drug Trafficking,0,2013,10
E01001403,Enfield,Theft and Handling,Theft From Motor Vehicle,0,2011,8
E01003356,Merton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2013,3
E01004677,Westminster,Other Notifiable Offences,Other Notifiable,0,2009,1
E01001459,Enfield,Criminal Damage,Other Criminal Damage,0,2010,2
E01003054,Lambeth,Drugs,Drug Trafficking,0,2012,6
E01004024,Southwark,Violence Against the Person,Common Assault,1,2013,7
E01002284,Havering,Theft and Handling,Handling Stolen Goods,0,2010,8
E01001768,Hackney,Criminal Damage,Other Criminal Damage,0,2011,10
E01000779,Bromley,Theft and Handling,Other Theft Person,0,2010,6
E01004205,Tower Hamlets,Violence Against the Person,Other violence,2,2013,7
E01001450,Enfield,Fraud or Forgery,Counted per Victim,0,2013,8
E01003144,Lambeth,Violence Against the Person,Offensive Weapon,0,2008,10
E01001697,Greenwich,Criminal Damage,Criminal Damage To Motor Vehicle,0,2011,7
E01001481,Enfield,Drugs,Possession Of Drugs,0,2009,9
E01003791,Redbridge,Violence Against the Person,Other violence,0,2015,10
E01003450,Merton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2014,12
E01001983,Haringey,Theft and Handling,Handling Stolen Goods,0,2010,5
E01004580,Wandsworth,Robbery,Personal Property,1,2010,5
E01001427,Enfield,Violence Against the Person,Assault with Injury,0,2008,7
E01003073,Lambeth,Violence Against the Person,Common Assault,1,2012,10
E01002143,Harrow,Theft and Handling,Other Theft,0,2013,10
E01001041,Croydon,Violence Against the Person,Common Assault,2,2010,12
E01033573,Barnet,Violence Against the Person,Common Assault,0,2009,6
E01004466,Waltham Forest,Violence Against the Person,Common Assault,0,2012,8
E01003346,Lewisham,Drugs,Possession Of Drugs,3,2013,7
E01003763,Redbridge,Burglary,Burglary in Other Buildings,1,2013,4
E01001905,Hammersmith and Fulham,Theft and Handling,Theft From Motor Vehicle,1,2010,6
E01004547,Wandsworth,Other Notifiable Offences,Going Equipped,0,2009,5
E01002547,Hillingdon,Theft and Handling,Theft From Shops,0,2008,11
E01000144,Barnet,Violence Against the Person,Common Assault,2,2014,4
E01003236,Lewisham,Theft and Handling,Other Theft,0,2010,12
E01002251,Havering,Theft and Handling,Theft From Motor Vehicle,1,2016,3
E01002304,Havering,Theft and Handling,Other Theft Person,0,2012,3
E01002106,Harrow,Robbery,Personal Property,0,2015,12
E01004122,Sutton,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,1
E01004190,Sutton,Criminal Damage,Other Criminal Damage,0,2011,7
E01001485,Enfield,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,5
E01001018,Croydon,Violence Against the Person,Common Assault,1,2012,11
E01003892,Richmond upon Thames,Violence Against the Person,Offensive Weapon,0,2014,2
E01000011,Barking and Dagenham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,11
E01003602,Newham,Criminal Damage,Other Criminal Damage,0,2010,8
E01002973,Kingston upon Thames,Violence Against the Person,Murder,0,2011,2
E01001326,Ealing,Burglary,Burglary in a Dwelling,0,2008,1
E01004065,Southwark,Burglary,Burglary in a Dwelling,0,2014,6
E01004591,Wandsworth,Theft and Handling,Motor Vehicle Interference & Tampering,1,2009,10
E01002920,Kingston upon Thames,Criminal Damage,Criminal Damage To Motor Vehicle,0,2008,10
E01001958,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,1,2013,6
E01002003,Haringey,Fraud or Forgery,Other Fraud & Forgery,0,2012,10
E01001141,Croydon,Burglary,Burglary in Other Buildings,6,2010,12
E01004045,Southwark,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,9
E01003938,Southwark,Criminal Damage,Criminal Damage To Other Building,0,2011,9
E01000036,Barking and Dagenham,Theft and Handling,Theft/Taking of Pedal Cycle,0,2011,9
E01004291,Tower Hamlets,Theft and Handling,Theft/Taking of Pedal Cycle,2,2008,3
E01002764,Islington,Violence Against the Person,Assault with Injury,1,2016,4
E01004211,Tower Hamlets,Criminal Damage,Criminal Damage To Motor Vehicle,2,2008,11
E01000548,Brent,Criminal Damage,Criminal Damage To Other Building,2,2009,9
E01002278,Havering,Burglary,Burglary in a Dwelling,2,2014,4
E01004560,Wandsworth,Other Notifiable Offences,Going Equipped,0,2010,10
E01002444,Hillingdon,Theft and Handling,Other Theft Person,4,2009,6
E01004355,Waltham Forest,Violence Against the Person,Assault with Injury,0,2013,7
E01004399,Waltham Forest,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2008,9
E01001466,Enfield,Theft and Handling,Handling Stolen Goods,0,2013,6
E01002052,Haringey,Other Notifiable Offences,Other Notifiable,0,2015,10
E01003107,Lambeth,Violence Against the Person,Harassment,1,2016,12
E01002853,Kensington and Chelsea,Burglary,Burglary in a Dwelling,0,2013,5
E01003100,Lambeth,Theft and Handling,Other Theft Person,1,2016,10
E01002477,Hillingdon,Theft and Handling,Handling Stolen Goods,0,2012,1
E01002407,Hillingdon,Other Notifiable Offences,Other Notifiable,0,2009,5
E01033585,Newham,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,5
E01000568,Brent,Violence Against the Person,Wounding/GBH,2,2014,3
E01003768,Redbridge,Robbery,Personal Property,0,2015,4
E01003691,Redbridge,Theft and Handling,Theft From Motor Vehicle,2,2012,1
E01003726,Redbridge,Theft and Handling,Handling Stolen Goods,1,2008,7
E01002561,Hounslow,Criminal Damage,Criminal Damage To Dwelling,0,2015,4
E01002202,Harrow,Burglary,Burglary in Other Buildings,1,2010,9
E01000424,Bexley,Burglary,Burglary in Other Buildings,0,2013,10
E01004608,Wandsworth,Criminal Damage,Criminal Damage To Other Building,1,2011,3
E01003322,Lewisham,Violence Against the Person,Other violence,0,2009,4
E01001383,Ealing,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2010,4
E01003190,Lewisham,Violence Against the Person,Offensive Weapon,0,2014,3
E01033594,Westminster,Violence Against the Person,Other violence,1,2016,7
E01003572,Newham,Violence Against the Person,Other violence,0,2011,12
E01001886,Hammersmith and Fulham,Criminal Damage,Other Criminal Damage,0,2012,2
E01002557,Hounslow,Criminal Damage,Other Criminal Damage,2,2010,11
E01003825,Richmond upon Thames,Theft and Handling,Other Theft Person,0,2010,9
E01004437,Waltham Forest,Sexual Offences,Other Sexual,0,2012,12
E01000732,Bromley,Theft and Handling,Other Theft,0,2012,8
E01001367,Ealing,Theft and Handling,Handling Stolen Goods,0,2010,10
E01004626,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2016,3
E01004454,Waltham Forest,Violence Against the Person,Wounding/GBH,0,2011,7
E01000719,Bromley,Fraud or Forgery,Counted per Victim,0,2014,5
E01002273,Havering,Violence Against the Person,Offensive Weapon,0,2011,6
E01003781,Redbridge,Violence Against the Person,Common Assault,2,2015,6
E01003474,Merton,Theft and Handling,Motor Vehicle Interference & Tampering,0,2016,10
E01003807,Richmond upon Thames,Drugs,Possession Of Drugs,0,2010,7
E01003734,Redbridge,Violence Against the Person,Assault with Injury,0,2008,11
E01003061,Lambeth,Drugs,Drug Trafficking,0,2010,11
E01003237,Lewisham,Sexual Offences,Other Sexual,0,2011,5
E01003338,Lewisham,Burglary,Burglary in Other Buildings,1,2012,10
E01001330,Ealing,Theft and Handling,Other Theft,0,2014,12
E01003422,Merton,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,5
E01004491,Wandsworth,Theft and Handling,Theft From Motor Vehicle,0,2008,11
E01003663,Redbridge,Theft and Handling,Other Theft,1,2013,10
E01004163,Sutton,Violence Against the Person,Other violence,0,2011,3
E01004165,Sutton,Theft and Handling,Other Theft Person,0,2014,3
E01032623,Sutton,Violence Against the Person,Other violence,0,2010,6
E01003405,Merton,Criminal Damage,Criminal Damage To Dwelling,1,2008,9
E01004057,Southwark,Burglary,Burglary in a Dwelling,0,2008,1
E01004412,Waltham Forest,Violence Against the Person,Other violence,0,2016,3
E01002166,Harrow,Violence Against the Person,Wounding/GBH,0,2008,12
E01003030,Lambeth,Theft and Handling,Other Theft Person,1,2008,6
E01001822,Hackney,Theft and Handling,Theft From Shops,0,2008,2
E01004556,Wandsworth,Robbery,Personal Property,0,2013,8
E01002708,Islington,Criminal Damage,Criminal Damage To Other Building,0,2014,1
E01000969,Camden,Violence Against the Person,Common Assault,1,2008,8
E01003457,Merton,Robbery,Personal Property,1,2016,5
E01001658,Greenwich,Other Notifiable Offences,Going Equipped,0,2013,4
E01000462,Bexley,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,4
E01004707,Westminster,Other Notifiable Offences,Other Notifiable,0,2010,11
E01000022,Barking and Dagenham,Violence Against the Person,Common Assault,1,2013,4
E01004735,Westminster,Violence Against the Person,Assault with Injury,7,2016,1
E01003720,Redbridge,Other Notifiable Offences,Other Notifiable,1,2015,10
E01002881,Kensington and Chelsea,Robbery,Business Property,0,2013,3
E01000014,Barking and Dagenham,Violence Against the Person,Harassment,1,2012,9
E01003797,Richmond upon Thames,Violence Against the Person,Common Assault,1,2015,2
E01003963,Southwark,Violence Against the Person,Murder,0,2015,3
E01001900,Hammersmith and Fulham,Drugs,Drug Trafficking,0,2008,5
E01000265,Barnet,Theft and Handling,Theft From Shops,0,2015,10
E01002836,Kensington and Chelsea,Drugs,Drug Trafficking,0,2009,10
E01003919,Southwark,Theft and Handling,Other Theft,3,2015,3
E01001926,Hammersmith and Fulham,Theft and Handling,Motor Vehicle Interference & Tampering,0,2010,1
E01004112,Sutton,Drugs,Possession Of Drugs,0,2011,4
E01003223,Lewisham,Violence Against the Person,Assault with Injury,0,2014,8
E01001230,Ealing,Drugs,Drug Trafficking,0,2011,7
E01000243,Barnet,Burglary,Burglary in Other Buildings,1,2011,11
E01000520,Brent,Criminal Damage,Other Criminal Damage,0,2015,11
E01000169,Barnet,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,11
E01000282,Barnet,Drugs,Drug Trafficking,0,2010,6
E01000601,Brent,Burglary,Burglary in a Dwelling,1,2010,9
E01002492,Hillingdon,Robbery,Business Property,0,2016,9
E01000659,Bromley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2014,11
E01000180,Barnet,Theft and Handling,Other Theft Person,0,2009,8
E01001603,Greenwich,Burglary,Burglary in Other Buildings,0,2012,4
E01004255,Tower Hamlets,Violence Against the Person,Assault with Injury,0,2013,7
E01002181,Harrow,Theft and Handling,Theft From Shops,0,2011,10
E01003864,Richmond upon Thames,Burglary,Burglary in Other Buildings,0,2016,3
E01001465,Enfield,Robbery,Business Property,0,2011,2
E01001017,Croydon,Theft and Handling,Other Theft,0,2009,10
E01001095,Croydon,Theft and Handling,Theft/Taking of Pedal Cycle,0,2009,8
E01004032,Southwark,Robbery,Personal Property,0,2011,9
E01004256,Tower Hamlets,Theft and Handling,Theft/Taking of Pedal Cycle,2,2010,6
E01000400,Bexley,Theft and Handling,Theft From Motor Vehicle,0,2016,7
E01000562,Brent,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,11
E01032572,Ealing,Violence Against the Person,Wounding/GBH,0,2011,1
E01001137,Croydon,Violence Against the Person,Other violence,0,2014,5
E01001406,Enfield,Violence Against the Person,Wounding/GBH,0,2008,9
E01004356,Waltham Forest,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,12
E01000037,Barking and Dagenham,Burglary,Burglary in Other Buildings,0,2010,2
E01004556,Wandsworth,Violence Against the Person,Assault with Injury,0,2016,7
E01003042,Lambeth,Violence Against the Person,Offensive Weapon,0,2009,8
E01000467,Bexley,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,5
E01033327,Lewisham,Violence Against the Person,Other violence,0,2012,5
E01001802,Hackney,Other Notifiable Offences,Going Equipped,0,2014,9
E01001945,Hammersmith and Fulham,Violence Against the Person,Other violence,0,2013,9
E01000916,Camden,Theft and Handling,Theft/Taking Of Motor Vehicle,1,2016,9
E01002816,Kensington and Chelsea,Violence Against the Person,Assault with Injury,0,2009,3
E01003968,Southwark,Robbery,Personal Property,0,2016,7
E01000426,Bexley,Drugs,Possession Of Drugs,0,2013,1
E01003538,Newham,Theft and Handling,Theft/Taking of Pedal Cycle,1,2008,10
E01002882,Kensington and Chelsea,Criminal Damage,Criminal Damage To Other Building,0,2015,2
E01000135,Barnet,Theft and Handling,Theft/Taking of Pedal Cycle,1,2012,5
E01000633,Brent,Criminal Damage,Other Criminal Damage,0,2014,5
E01000691,Bromley,Theft and Handling,Theft From Shops,0,2009,9
E01033707,Hackney,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2011,8
E01004375,Waltham Forest,Drugs,Drug Trafficking,0,2013,8
E01000929,Camden,Theft and Handling,Other Theft Person,0,2016,5
E01000198,Barnet,Burglary,Burglary in a Dwelling,1,2016,6
E01003587,Newham,Violence Against the Person,Other violence,0,2009,2
E01001262,Ealing,Theft and Handling,Other Theft,1,2009,5
E01000673,Bromley,Robbery,Personal Property,0,2016,3
E01002845,Kensington and Chelsea,Violence Against the Person,Common Assault,0,2013,9
E01002952,Kingston upon Thames,Burglary,Burglary in Other Buildings,0,2010,3
E01000479,Brent,Violence Against the Person,Assault with Injury,0,2013,2
E01001912,Hammersmith and Fulham,Criminal Damage,Criminal Damage To Motor Vehicle,0,2015,2
E01004314,Tower Hamlets,Burglary,Burglary in a Dwelling,0,2014,12
E01002232,Harrow,Other Notifiable Offences,Other Notifiable,0,2016,10
E01003974,Southwark,Violence Against the Person,Assault with Injury,0,2009,7
E01004371,Waltham Forest,Violence Against the Person,Common Assault,0,2015,9
E01004558,Wandsworth,Theft and Handling,Theft/Taking of Pedal Cycle,2,2012,9
E01000211,Barnet,Violence Against the Person,Harassment,9,2016,8
E01004451,Waltham Forest,Other Notifiable Offences,Other Notifiable,1,2012,9
E01003919,Southwark,Drugs,Possession Of Drugs,0,2016,12
E01003745,Redbridge,Violence Against the Person,Assault with Injury,1,2008,1
E01003142,Lambeth,Criminal Damage,Other Criminal Damage,0,2009,3
E01000526,Brent,Theft and Handling,Theft/Taking of Pedal Cycle,0,2008,2
E01001033,Croydon,Theft and Handling,Theft From Shops,0,2015,7
E01002378,Havering,Violence Against the Person,Other violence,0,2008,11
E01002895,Kensington and Chelsea,Theft and Handling,Handling Stolen Goods,0,2015,4
E01004215,Tower Hamlets,Violence Against the Person,Common Assault,0,2016,7
E01004261,Tower Hamlets,Robbery,Business Property,0,2009,8
E01003885,Richmond upon Thames,Criminal Damage,Criminal Damage To Dwelling,0,2014,10
E01002072,Haringey,Theft and Handling,Handling Stolen Goods,0,2013,12
E01003181,Lambeth,Theft and Handling,Theft/Taking of Pedal Cycle,0,2016,3
E01001854,Hammersmith and Fulham,Drugs,Drug Trafficking,0,2014,12
E01001300,Ealing,Violence Against the Person,Offensive Weapon,0,2009,3
E01001480,Enfield,Criminal Damage,Criminal Damage To Dwelling,2,2008,3
E01001335,Ealing,Criminal Damage,Criminal Damage To Motor Vehicle,0,2012,12
E01002333,Havering,Theft and Handling,Motor Vehicle Interference & Tampering,0,2014,4
E01002347,Havering,Theft and Handling,Motor Vehicle Interference & Tampering,0,2013,6
E01001731,Hackney,Criminal Damage,Criminal Damage To Other Building,2,2015,12
E01001894,Hammersmith and Fulham,Theft and Handling,Other Theft,8,2013,11
E01001075,Croydon,Burglary,Burglary in a Dwelling,0,2014,6
E01000246,Barnet,Theft and Handling,Other Theft Person,0,2016,8
E01003676,Redbridge,Criminal Damage,Criminal Damage To Dwelling,0,2011,11
E01002491,Hillingdon,Theft and Handling,Theft From Shops,0,2016,7
E01001660,Greenwich,Theft and Handling,Other Theft Person,0,2010,6
E01003838,Richmond upon Thames,Drugs,Drug Trafficking,0,2008,7
E01004527,Wandsworth,Theft and Handling,Other Theft,0,2008,2
E01004306,Tower Hamlets,Violence Against the Person,Harassment,5,2016,11
E01001993,Haringey,Theft and Handling,Theft/Taking of Pedal Cycle,0,2010,3
E01002906,Kensington and Chelsea,Criminal Damage,Other Criminal Damage,1,2008,4
E01000433,Bexley,Theft and Handling,Handling Stolen Goods,0,2014,5
E01003816,Richmond upon Thames,Theft and Handling,Other Theft,0,2008,2
E01033208,Lambeth,Theft and Handling,Motor Vehicle Interference & Tampering,0,2008,3
E01000604,Brent,Violence Against the Person,Other violence,0,2009,12
E01004051,Southwark,Drugs,Possession Of Drugs,0,2009,2
E01001575,Greenwich,Criminal Damage,Other Criminal Damage,0,2016,8
E01003356,Merton,Burglary,Burglary in Other Buildings,0,2015,6
E01002158,Harrow,Violence Against the Person,Common Assault,0,2013,7
E01003583,Newham,Theft and Handling,Other Theft Person,0,2012,4
E01004218,Tower Hamlets,Drugs,Other Drugs,0,2009,11
E01032741,Havering,Robbery,Business Property,0,2008,3
E01000095,Barking and Dagenham,Theft and Handling,Motor Vehicle Interference & Tampering,1,2013,1
E01001006,Croydon,Theft and Handling,Theft From Shops,4,2008,8
E01001819,Hackney,Theft and Handling,Theft From Shops,0,2011,11
E01033733,Greenwich,Violence Against the Person,Harassment,0,2008,7
E01004511,Wandsworth,Theft and Handling,Theft/Taking Of Motor Vehicle,0,2015,1
E01001712,Greenwich,Violence Against the Person,Other violence,1,2013,2
E01002126,Harrow,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,5
E01001230,Ealing,Violence Against the Person,Assault with Injury,0,2011,4
E01001798,Hackney,Criminal Damage,Criminal Damage To Dwelling,0,2014,4
E01004523,Wandsworth,Drugs,Drug Trafficking,0,2012,2
E01002310,Havering,Robbery,Business Property,0,2016,11
E01003138,Lambeth,Fraud or Forgery,Other Fraud & Forgery,0,2009,8
E01003801,Richmond upon Thames,Theft and Handling,Other Theft Person,0,2016,7
E01003170,Lambeth,Burglary,Burglary in Other Buildings,0,2015,4
E01004576,Wandsworth,Violence Against the Person,Other violence,0,2009,7
E01000729,Bromley,Theft and Handling,Theft From Shops,3,2008,12
E01000882,Camden,Theft and Handling,Other Theft,1,2015,10
E01002442,Hillingdon,Theft and Handling,Motor Vehicle Interference & Tampering,0,2009,2
E01004135,Sutton,Violence Against the Person,Common Assault,0,2011,3
E01004059,Southwark,Violence Against the Person,Offensive Weapon,0,2009,5
E01002197,Harrow,Theft and Handling,Theft From Motor Vehicle,0,2012,5
